PokemonData(name=Muschas,pokedexId=90,generation=0,encounterNeeded=465,huntMethod=SOS,tabIndex=0,internalId=52)
PokemonData(name=Geronimatz,pokedexId=627,generation=4,encounterNeeded=438,huntMethod=SOS,tabIndex=0,internalId=53)
PokemonData(name=Magnetilo,pokedexId=81,generation=0,encounterNeeded=255,huntMethod=Hatch,tabIndex=0,internalId=54)
PokemonData(name=Igamaro,pokedexId=650,generation=5,encounterNeeded=298,huntMethod=Hatch,tabIndex=0,internalId=55)
PokemonData(name=Klikk,pokedexId=599,generation=4,encounterNeeded=590,huntMethod=Hatch,tabIndex=0,internalId=56)
PokemonData(name=Enton,pokedexId=54,generation=0,encounterNeeded=508,huntMethod=SOS,tabIndex=0,internalId=57)
PokemonData(name=Sterndu,pokedexId=120,generation=0,encounterNeeded=252,huntMethod=SOS,tabIndex=0,internalId=58)
PokemonData(name=Fiffyen,pokedexId=261,generation=2,encounterNeeded=635,huntMethod=Hatch,tabIndex=0,internalId=153)
PokemonData(name=Voltilamm,pokedexId=179,generation=1,encounterNeeded=116,huntMethod=Hatch,tabIndex=0,internalId=154)
PokemonData(name=Kanivanha,pokedexId=318,generation=2,encounterNeeded=116,huntMethod=Hatch,tabIndex=0,internalId=155)
PokemonData(name=Robball,pokedexId=728,generation=6,encounterNeeded=12,huntMethod=Hatch,tabIndex=0,internalId=156)
PokemonData(name=Krebscorps,pokedexId=341,generation=2,encounterNeeded=342,huntMethod=Hatch,tabIndex=0,internalId=158)
PokemonData(name=Plinfa,pokedexId=393,generation=3,encounterNeeded=694,huntMethod=Hatch,tabIndex=0,internalId=160)
PokemonData(name=Minun,pokedexId=312,generation=2,encounterNeeded=519,huntMethod=Hatch,tabIndex=0,internalId=162)
PokemonData(name=Skunkapuh,pokedexId=434,generation=3,encounterNeeded=363,huntMethod=Hatch,tabIndex=0,internalId=164)
PokemonData(name=Mangunior,pokedexId=734,generation=6,encounterNeeded=154,huntMethod=SOS,tabIndex=0,internalId=165)
PokemonData(name=Machollo,pokedexId=66,generation=0,encounterNeeded=576,huntMethod=SOS,tabIndex=0,internalId=168)
PokemonData(name=Dragonir,pokedexId=148,generation=0,encounterNeeded=114,huntMethod=SOS,tabIndex=0,internalId=169)
PokemonData(name=Fukano,pokedexId=58,generation=0,encounterNeeded=61,huntMethod=SOS,tabIndex=0,internalId=170)
PokemonData(name=Togepi,pokedexId=175,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=59)
PokemonData(name=Zigzachs,pokedexId=263,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=60)
PokemonData(name=Waumpel,pokedexId=265,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=62)
PokemonData(name=Staralili,pokedexId=396,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=109)
PokemonData(name=Wadribie,pokedexId=415,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=112)
PokemonData(name=Schnuthelm,pokedexId=616,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=125)
PokemonData(name=Scoppel,pokedexId=659,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=128)
PokemonData(name=Purmel,pokedexId=664,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=129)
PokemonData(name=Kleinstein-alola,pokedexId=74,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=145)
PokemonData(name=Togedemaru,pokedexId=777,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=1,internalId=150)
PokemonData(name=Bisasam,pokedexId=1,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=71)
PokemonData(name=Schiggy,pokedexId=7,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=72)
PokemonData(name=Myrapla,pokedexId=43,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=73)
PokemonData(name=Bluzuk,pokedexId=48,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=74)
PokemonData(name=Knofensa,pokedexId=69,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=75)
PokemonData(name=Ponita,pokedexId=77,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=76)
PokemonData(name=Voltobal,pokedexId=100,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=78)
PokemonData(name=Tangela,pokedexId=114,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=79)
PokemonData(name=Porygon,pokedexId=137,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=80)
PokemonData(name=Endivie,pokedexId=152,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=81)
PokemonData(name=Feurigel,pokedexId=155,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=82)
PokemonData(name=Karnimani,pokedexId=158,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=83)
PokemonData(name=Yanma,pokedexId=193,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=85)
PokemonData(name=Girafarig,pokedexId=203,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=87)
PokemonData(name=Pottrott,pokedexId=213,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=88)
PokemonData(name=Quiekel,pokedexId=220,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=89)
PokemonData(name=Corasonn,pokedexId=222,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=90)
PokemonData(name=Miltank,pokedexId=241,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=91)
PokemonData(name=Flemmli,pokedexId=255,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=92)
PokemonData(name=Hydropi,pokedexId=258,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=93)
PokemonData(name=Frizelbliz,pokedexId=309,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=95)
PokemonData(name=Plusle,pokedexId=311,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=96)
PokemonData(name=Roselia,pokedexId=315,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=98)
PokemonData(name=Spoink,pokedexId=325,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=100)
PokemonData(name=Tuska,pokedexId=331,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=101)
PokemonData(name=Barschwa,pokedexId=349,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=103)
PokemonData(name=Chelast,pokedexId=387,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=106)
PokemonData(name=Panflam,pokedexId=390,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=107)
PokemonData(name=Sheinux,pokedexId=403,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=110)
PokemonData(name=Haspiror,pokedexId=427,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=113)
PokemonData(name=Skunkapuh,pokedexId=434,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=114)
PokemonData(name=Pionskora,pokedexId=451,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=116)
PokemonData(name=Ottaro,pokedexId=501,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=117)
PokemonData(name=Ganovil,pokedexId=551,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=118)
PokemonData(name=Symvolara,pokedexId=561,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=119)
PokemonData(name=Monozyto,pokedexId=577,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=120)
PokemonData(name=Emolga,pokedexId=587,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=121)
PokemonData(name=Wattzapf,pokedexId=595,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=122)
PokemonData(name=Kastadur,pokedexId=597,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=123)
PokemonData(name=Zapplardin,pokedexId=602,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=124)
PokemonData(name=Gladiantri,pokedexId=624,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=126)
PokemonData(name=Froxy,pokedexId=656,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=127)
PokemonData(name=Leufeo,pokedexId=667,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=130)
PokemonData(name=Coiffwaff,pokedexId=676,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=133)
PokemonData(name=Psiau,pokedexId=677,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=134)
PokemonData(name=Parfi,pokedexId=682,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=135)
PokemonData(name=Bithora,pokedexId=688,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=136)
PokemonData(name=Eguana,pokedexId=694,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=137)
PokemonData(name=Resladero,pokedexId=701,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=140)
PokemonData(name=Irrbis,pokedexId=710,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=141)
PokemonData(name=Arktip,pokedexId=712,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=142)
PokemonData(name=eF-eM,pokedexId=714,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=143)
PokemonData(name=Choreogel,pokedexId=741,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=147)
PokemonData(name=Quartermak,pokedexId=766,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=148)
PokemonData(name=Reißlaus,pokedexId=767,generation=6,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=149)
PokemonData(name=Teddiursa,pokedexId=216,generation=1,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=157)
PokemonData(name=Lilminip,pokedexId=548,generation=4,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=163)
PokemonData(name=Knacklion,pokedexId=328,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=2,internalId=166)
PokemonData(name=Onix,pokedexId=95,generation=0,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=77)
PokemonData(name=Stollunior,pokedexId=304,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=94)
PokemonData(name=Zwirrlicht,pokedexId=355,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=104)
PokemonData(name=Tanhel,pokedexId=374,generation=2,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=105)
PokemonData(name=Koknodon,pokedexId=408,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=111)
PokemonData(name=Riolu,pokedexId=447,generation=3,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=115)
PokemonData(name=Pam-Pam,pokedexId=674,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=131)
PokemonData(name=Balgoras,pokedexId=696,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=138)
PokemonData(name=Amarino,pokedexId=698,generation=5,encounterNeeded=0,huntMethod=Other,tabIndex=3,internalId=139)
